facility_id,facility_name,facility_type,capacity_numeric,capacity_unit,region,licence_issue_date,inspection_date,latitude,longitude,remarks,date_anomaly
,st. Ward-Clark,Polyclinic,489.0,beds,St. Andrew,2022-09-07,2023-06-19,13.150555555555556,-59.18555555555555,Needs upgrade,False
9981.0,"Cooper, Fowler and Williams Hosp.",Health Centre,26.0,cots,St. John,2025-06-20,2020-10-04,13.23953,-59.07019,Needs upgrade,True
9981.0,"Cooper, Fowler and Williams Hospital",Health Centre,26.0,cots,St. John,2025-06-20,2020-10-04,13.23953,-59.07019,Needs upgrade,True
84.0,"st. Ellis, Hall and Mahoney Health Centre",Community Health Centre,123.0,patients,St. Lucy,2023-05-16,2023-10-07,13.17492,-58.78072,Follow-up 2023,False
4144.0,"st. Allen,-Miller-and-Hernandez Hospital",Health Centre,401.0,beds,St. Lucy,2024-12-12,2022-02-19,13.26365,-59.05108,,True
28.0,Johnson Group Clin.,Health Centre,10.0,beds,St. Michael,2023-07-25,2021-06-25,13.12849,-59.24123,,True
28.0,Johnson Group Clinic,Health Centre,10.0,beds,St. Michael,2023-07-25,2021-06-25,13.12849,-59.24123,,True
9961.0,Ellison PLC Health Centre,Health Centre,10.0,beds,St. Andrew,2018-01-14,2018-11-18,13.02857,-59.21918,Good,False
45810.0,"Patterson, Brown and Lamb Infirmary",Hospital,296.0,capacity,St. Andrew,2019-09-23,2024-12-19,13.10359,-59.08052,,False
15171.0,Winters and Sons Medical Center,Clinic,175.0,beds,St. Lucy,2024-04-24,2018-12-13,13.29339,-59.14165,,True
,"Marquez, Sims and Morris",Health Centre,431.0,beds,Christ Church,2021-02-22,2024-05-19,12.80296,-59.16671,Needs upgrade,False
349.0,"Brady,-Beard-and-Pearson",Health Centre,276.0,cots,St. John,2018-04-29,2019-12-28,13.087777777777779,-58.98027777777778,Follow-up 2023,False
9954.0,Torres-Bowman Clinic,Hospital,53.0,capacity,St. George,2016-07-28,2018-10-07,12.777500000000002,-59.04861111111111,,False
9949.0,Webster Inc Polyclinic,Health Centre,33.0,beds,St. Lucy,2018-01-09,2019-10-14,13.17437,-58.81873,Needs upgrade,False
9948.0,"Wilson,-Armstrong-and-Nicholson Clinic",Health Centre,198.0,units,St. James,2017-11-19,2023-06-18,13.17336,-58.74294,Reinspection due,False
9947.0,Harvey-Bradley Hospital,Health Centre,40.0,patients,St. Andrew,2019-01-10,2020-07-31,13.120277777777778,-59.12166666666667,,False
9946.0,St. Hill PLC Clin.,Health Centre,99.0,beds,St. Peter,2018-05-24,2023-08-29,12.78262,-58.8833,,False
9946.0,St. Hill PLC Clinic,Health Centre,99.0,beds,St. Peter,2018-05-24,2023-08-29,12.78262,-58.8833,,False
6770.0,"Richardson,-Spencer-and-Johns Hosp.",Clinic,56.0,beds,Christ Church,2020-12-17,2021-10-08,12.74772,-59.04428,Follow-up 2023,False
40.0,St. Taylor-Turner Health Centre,Health Centre,424.0,patients,St. George,2017-11-18,2021-02-09,13.24369,-58.77812,Needs upgrade,False
38.0,Chapman PLC Christ,Health Centre,375.0,beds,Christ Church,2025-02-11,2018-01-05,12.70734,-59.15735,Good,True
37.0,St. Jones Group Hosp.,Clinic,75.0,units,St. George,2020-12-30,2022-11-03,13.29409,-58.72088,Good,False
35.0,Johnson Ltd Hosp. St. John,Health Centre,295.0,units,St. John,2017-01-20,2024-07-29,12.975833333333334,-58.94222222222222,,False
,"Young, Dickerson and Wells",Health Centre,416.0,patients,St. Peter,2022-04-03,2023-11-02,12.993,-59.23137,Good,False
30.0,Owens Ltd St. James,Hospital,495.0,capacity,St. James,2022-03-08,2025-02-28,13.14441,-58.80217,Follow-up 2023,False
9944.0,"Smith, Lopez and Turner Medical Center",Health Centre,375.0,capacity,St. John,2020-03-08,2023-03-25,13.224444444444444,-59.03388888888889,Reinspection due,False
,"Murray, Winters and Lewis NewLine",Polyclinic,190.0,capacity,St. Joseph,2024-12-08,2024-10-20,13.2825,-58.82805555555556,,True
9936.0,"Chandler,-Wilson-and-Perez",Community Health Centre,175.0,beds,St. Lucy,2016-07-31,2019-10-04,13.102777777777778,-58.80361111111111,Follow-up 2023,False
,"St. Barnes, Richardson and Leonard Hosp.",Hospital,242.0,units,St. Joseph,2024-11-19,2021-09-21,12.85921,-59.11794,Follow-up 2023,True
,Conner-Floyd Hospital,Clinic,10.0,beds,St. Lucy,2020-12-01,2020-02-27,12.923055555555555,-59.10416666666667,Follow-up 2023,True
